iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
270,500,13320192,4276.0,96.82,1.2495,0.177,851.8334,11.49,3096
271,500,13369344,4285.0,95.77,1.2467,0.234,854.5834,11.47,3108
272,500,13418496,4273.0,91.52,1.2222,0.1729,855.5417,11.5,3119
273,500,13467648,4280.0,89.42,1.1809,0.1038,856.0,11.48,3131
274,500,13516800,4273.0,94.85,1.1446,0.1872,857.375,11.5,3142
275,500,13565952,4285.0,95.03,1.1011,0.1058,859.0,11.47,3153
276,500,13615104,4278.0,94.57,1.1174,0.2075,859.7917,11.49,3165
277,500,13664256,4281.0,91.64,1.1034,0.1119,860.0,11.48,3176
278,500,13713408,4285.0,97.01,1.0896,0.1811,860.0,11.47,3188
279,500,13762560,4282.0,94.23,1.129,0.1526,860.875,11.48,3199
280,500,13811712,4282.0,95.41,1.142,0.1912,861.0,11.48,3211
281,500,13860864,4274.0,100.21,1.1518,0.1607,861.0,11.5,3222
282,500,13910016,4285.0,99.93,1.1172,0.2625,861.125,11.47,3234
283,500,13959168,4284.0,98.31,1.0896,0.1953,862.2917,11.47,3245
284,500,14008320,4294.0,96.61,1.0729,0.0875,863.0834,11.44,3257
285,500,14057472,4293.0,94.21,1.077,0.1994,865.0,11.45,3268
286,500,14106624,4303.0,90.7,1.039,0.1282,865.7917,11.42,3280
287,500,14155776,4301.0,102.79,1.0088,0.0895,866.5417,11.43,3291
288,500,14204928,4284.0,92.29,1.0495,0.1689,868.7084,11.47,3303
289,500,14254080,4294.0,97.88,1.0749,0.1383,870.875,11.45,3314
290,500,14303232,4289.0,101.13,1.0977,0.1668,871.0,11.46,3325
291,500,14352384,4280.0,99.98,1.1214,0.2482,871.0,11.48,3337
292,500,14401536,4281.0,92.47,1.1368,0.2665,871.5,11.48,3348
293,500,14450688,4280.0,98.59,1.0958,0.2726,875.7084,11.48,3360
294,500,14499840,4293.0,99.1,1.0815,0.2502,876.0417,11.45,3371
295,500,14548992,4289.0,101.32,1.0819,0.2645,877.625,11.46,3383
296,500,14598144,4297.0,96.48,1.075,0.2401,878.0,11.44,3394
297,500,14647296,4282.0,96.71,1.0581,0.3072,879.2084,11.48,3406
298,500,14696448,4278.0,98.72,1.089,0.3845,882.0,11.49,3417
299,500,14745600,4282.0,98.51,1.1307,0.415,884.3334,11.48,3429
300,500,14794752,4283.0,100.74,1.166,0.2808,885.2084,11.48,3440
301,500,14843904,4278.0,101.54,1.156,0.2096,886.0,11.49,3452
302,500,14893056,4264.0,94.91,1.1315,0.3377,888.5834,11.52,3463
303,500,14942208,4284.0,93.46,1.0767,0.3215,890.5834,11.47,3475
304,500,14991360,4280.0,97.45,1.0411,0.1831,892.875,11.48,3486
305,500,15040512,4288.0,98.56,1.0034,0.1383,893.8334,11.46,3498
306,500,15089664,4288.0,97.86,0.9737,0.0793,895.0,11.46,3509
307,500,15138816,4287.0,97.1,0.9828,0.1953,895.0,11.46,3521
308,500,15187968,4274.0,97.69,0.9786,0.1892,895.7084,11.5,3532
309,500,15237120,4289.0,103.08,0.9945,0.2441,896.4584,11.46,3543
310,500,15286272,4291.0,97.45,1.0134,0.2584,897.2084,11.45,3555
311,500,15335424,4292.0,99.7,1.0259,0.2848,899.1667,11.45,3566
312,500,15384576,4284.0,97.67,1.02,0.2299,900.0,11.47,3578
313,500,15433728,4296.0,100.31,0.9929,0.2116,900.2917,11.44,3589
314,500,15482880,4293.0,99.48,0.9808,0.3764,901.9584,11.45,3601
315,500,15532032,4300.0,100.03,1.0107,0.3621,905.4584,11.43,3612
316,500,15581184,4286.0,95.0,1.0466,0.3784,907.75,11.47,3624
317,500,15630336,4294.0,101.32,1.0489,0.2096,910.875,11.45,3635
318,500,15679488,4298.0,96.67,1.1133,0.2604,914.7084,11.43,3647
319,500,15728640,4284.0,97.06,1.1649,0.2502,915.4584,11.47,3658
320,500,15777792,4291.0,96.83,1.206,0.2645,917.0417,11.45,3669
321,500,15826944,4281.0,101.72,1.2244,0.3215,919.375,11.48,3681
322,500,15876096,4291.0,85.58,1.2746,0.3133,920.25,11.45,3692
323,500,15925248,4290.0,94.23,1.2309,0.3805,925.5417,11.46,3704
324,500,15974400,4298.0,91.74,1.2535,0.2421,929.3334,11.43,3715
325,500,16023552,4294.0,86.04,1.2342,0.4517,933.8334,11.44,3727
326,500,16072704,4292.0,92.78,1.1883,0.3805,936.1667,11.45,3738
327,500,16121856,4284.0,92.0,1.1391,0.3703,937.125,11.47,3750
328,500,16171008,4293.0,95.04,1.1368,0.3703,939.2917,11.45,3761
329,500,16220160,4285.0,92.55,1.1785,0.3947,941.875,11.47,3773
330,500,16269312,4287.0,96.81,1.1933,0.4781,942.0,11.46,3784
331,500,16318464,4297.0,90.23,1.1797,0.5595,943.1667,11.44,3795
332,500,16367616,4290.0,94.32,1.1534,0.3764,944.5417,11.46,3807
333,500,16416768,4293.0,96.79,1.1733,0.4476,946.1667,11.45,3818
334,500,16465920,4291.0,96.38,1.1952,0.4964,953.5417,11.45,3830
335,500,16515072,4293.0,96.77,1.2244,0.4598,958.625,11.45,3841
